TITLE	TITLESHORT	ISSN	EISSN	PARENT	FORMAT	FIELD	DOCUMENTATION
South African Family Practice	SAFPJ	2078-6190 	2078-6204 	african-online-scientific-information-systems-vancouver	numeric	medicine	https://safpj.co.za/index.php/safpj/pages/view/submission-guidelines#part_1
SA Journal of Radiology	SAJR	1027-202X 	2078-6778 	african-online-scientific-information-systems-vancouver	numeric	medicine	https://sajr.org.za/index.php/sajr/pages/view/submission-guidelines#part_1
Journal of African Foresight	JAF			apa	author-date	humanities	https://jafonline.org/index.php/jaf/pages/view/submission-guidelines#part_1
South African Journal of Physiotherapy	SAJP	0379-6175 	2410-8219 	african-online-scientific-information-systems-harvard	author-date	medicine	https://sajp.co.za/index.php/sajp/pages/view/submission-guidelines#part_1
In die Skriflig / In Luce Verbi		2305-0853	1018-6441 	african-online-scientific-information-systems-harvard	author-date	humanities	https://indieskriflig.org.za/index.php/skriflig/pages/view/submission-guidelines#part_1
Theologia Viatorum	TV	0378-4142 	2664-2980 	african-online-scientific-information-systems-harvard	author-date	humanities	https://theologiaviatorum.org/index.php/tv/pages/view/submission-guidelines#part_1
Transformation in Higher Education		2415-0991 	2519-5638 	african-online-scientific-information-systems-harvard	author-date	humanities	https://thejournal.org.za/index.php/thejournal/pages/view/submission-guidelines#part_1
Verbum et Ecclesia	VE	1609-9982 	2074-7705 	african-online-scientific-information-systems-harvard	author-date	humanities	https://verbumetecclesia.org.za/index.php/ve/pages/view/submission-guidelines#part_1
Journal of Local Government Research and Innovation	JOLGRI			african-online-scientific-information-systems-harvard	author-date	humanities	https://jolgri.org/index.php/jolgri/pages/view/submission-guidelines#part_1
Southern African Journal of HIV Medicine		1608-9693 	2078-6751 	african-online-scientific-information-systems-vancouver	numeric	medicine	https://sajhivmed.org.za/index.php/hivmed/pages/view/submission-guidelines#part_1
The Journal for Transdisciplinary Research in Southern Africa		1817-4434 	2415-2005 	african-online-scientific-information-systems-vancouver	numeric	science	https://td-sa.net/index.php/td/pages/view/submission-guidelines#part_1
Southern African Journal of Infectious Diseases	SAJID	2312-0053 	2313-1810 	african-online-scientific-information-systems-vancouver	numeric	medicine	https://sajid.co.za/index.php/sajid/pages/view/submission-guidelines#part_1
South African Journal of Economic and Management Sciences	SAJEMS	1015-8812 	2222-3436 	african-online-scientific-information-systems-harvard	author-date	humanities	https://sajems.org/index.php/sajems/pages/view/submission-guidelines#part_1
South African Journal of Psychiatry	SAJP	1608-9685 	2078-6786 	african-online-scientific-information-systems-vancouver	numeric	medicine	https://sajp.org.za/index.php/sajp/pages/view/submission-guidelines#part_1
South African Journal of Information Management	SAJIM	2078-1865 	1560-683X 	african-online-scientific-information-systems-harvard	author-date	humanities	https://sajim.co.za/index.php/sajim/pages/view/submission-guidelines#part_1
South African Journal of Business Management	SAJBM	2078-5585 	2078-5976 	apa	author-date	humanities	https://sajbm.org/index.php/sajbm/pages/view/submission-guidelines#part_1
South African Journal of Communication Disorders	SAJCD	0379-8046 	2225-4765 	apa	author-date	humanities	https://sajcd.org.za/index.php/sajcd/pages/view/submission-guidelines#part_1
