Title	eISSN	ISSN	Field
World Journal of Anesthesiology	2218-6182	x	medicine
World Journal of Biological Chemistry	1949-8454	x	biology
World Journal of Cardiology	1949-8462	x	medicine
World Journal of Clinical Cases	2307-8960	x	medicine
World Journal of Clinical Infectious Diseases	2220-3176	x	medicine
World Journal of Clinical Oncology	2218-4333	x	medicine
World Journal of Clinical Pediatrics	2219-2808	x	medicine
World Journal of Clinical Urology	2219-2816	x	medicine
World Journal of Critical Care Medicine	2220-3141	x	medicine
World Journal of Dermatology	2218-6190	x	medicine
World Journal of Diabetes	1948-9358	x	medicine
World Journal of Experimental Medicine	2220-315X	x	medicine
World Journal of Gastroenterology	2219-2840	1007-9327	medicine
World Journal of Gastrointestinal Endoscopy  x	1948-5190	x	medicine
World Journal of Gastrointestinal Oncology	1948-5204	x	medicine
World Journal of Gastrointestinal Pathophysiology	2150-5330	x	medicine
World Journal of Gastrointestinal Pharmacology and Therapeutics	2150-5349	x	medicine
World Journal of Gastrointestinal Surgery	1948-9366	x	medicine
World Journal of Hematology	2218-6204	x	medicine
World Journal of Hepatology	1948-5182	x	medicine
World Journal of Hypertension	2220-3168	x	medicine
World Journal of Immunology	2219-2824	x	medicine
World Journal of Medical Genetics	2220-3184	x	medicine
World Journal of Meta-Analysis	2308-3840	x	medicine
World Journal of Methodology	2222-0682	x	medicine
World Journal of Nephrology	2220-6124	x	medicine
World Journal of Neurology	2218-6212	x	medicine
World Journal of Obstetrics and Gynecology	2218-6220	x	medicine
World Journal of Ophthalmology	2218-6239	x	medicine
World Journal of Orthopedics	2218-5836	x	medicine
World Journal of Otorhinolaryngology	2218-6247	x	medicine
World Journal of Pharmacology	2220-3192	x	medicine
World Journal of Psychiatry	2220-3206	x	medicine
World Journal of Radiology	1949-8470	x	medicine
World Journal of Respirology	2218-6255	x	medicine
World Journal of Rheumatology	2220-3214	x	medicine
World Journal of Stem Cells	1948-0210	x	biology
World Journal of Stomatology	2218-6263	x	medicine
World Journal of Surgical Procedures	2219-2832	x	medicine
World Journal of Translational Medicine	2220-6132	x	medicine
World Journal of Transplantation	2220-3230	x	medicine
World Journal of Virology	2220-3249	x	biology
