Title	ISSN	Parent	Format
Arab Journal of Urology	2090-598X	elsevier-vancouver	numeric
Healthcare: The Journal of Delivery Science and Innovation	2213-0764	american-medical-association	numeric
Perspectives in Ecology and Conservation	2530-0644	elsevier-harvard	author-date
SoftwareX	2352-7110	elsevier-without-titles	numeric
Resuscitation	0300-9572	elsevier-vancouver	numeric
The Journal of Pediatrics	0022-3476	elsevier-vancouver	numeric
Computer Law & Security Review: The International Journal of Technology Law and Practice	0267-3649	oscola	note
Combustion and Flame	0010-2180	elsevier-with-titles	numeric
The American Journal of Emergency Medicine	0735-6757	elsevier-vancouver	numeric
Resources, Environment and Sustainaility	2666-9161	elsevier-harvard	author-date
Journal of Food Protection  0362-028X   apa author-date
