Title	title-short	ISSN	EISSN	Field	parent	FORMAT
3D Printing and Additive Manufacturing	3DP	2329-7662	2329-7670	Engineering	mary-ann-lieber-vancouver	numeric
Advances in Wound Care	WOUND	2162-1918	2162-1934	Medicine	mary-ann-lieber-vancouver	numeric
AIDS Patient Care and STDs	APC	1087-2914	1557-7449	Medicine	mary-ann-lieber-vancouver	numeric
AIDS Research and Human Retroviruses	AID	0889-2229	1931-8405	Medicine	mary-ann-lieber-vancouver	numeric
Integrative and Complementary Therapies	ICT	2768-3192	2768-3206	Medicine	mary-ann-lieber-vancouver	numeric
Androgens: Clinical Research and Therapeutics	ANDRO	x	2689-4653	Medicine	mary-ann-lieber-vancouver	numeric
Antioxidants and Redox Signaling	ARS	1523-0864	1557-7716	Biology	mary-ann-lieber-harvard	author-date
Applied Biosafety	APB	1535-6760	2470-1246	science	mary-ann-lieber-vancouver	numeric
Applied In Vitro Toxicology	AIVT	2332-1512	2332-1539	Biology	mary-ann-lieber-vancouver	numeric
ASSAY and Drug Development Technologies	ADT	1540-658X	1557-8127	Biology	mary-ann-lieber-vancouver	numeric
Astrobiology	AST	1531-1074	1557-8070	Biology	mary-ann-lieber-harvard	author-date
Autism in Adulthood	AUT	2573-9581	2573-959X	science	mary-ann-lieber-vancouver	numeric
Bariatric Surgical Practice and Patient Care	BARI	2168-023X	ÿ2168-0248	Medicine	mary-ann-lieber-vancouver		numeric
Big Data	BIG	2167-6461	2167-647X	Engineering	mary-ann-lieber-vancouver	numeric
Bioelectricity	BIOE	2576-3105	2576-3113	Biology	mary-ann-lieber-vancouver	numeric
Biopreservation and Biobanking	BIO	1947-5535	1947-5543	Biology	mary-ann-lieber-vancouver	numeric
Brain Connectivity	BRAIN	2158-0014	2158-0022	Biology	mary-ann-lieber-harvard	author-date
Breastfeeding Medicine	BFM	1556-8253	1556-8342	Medicine	mary-ann-lieber-vancouver	numeric
Cancer Biotherapy and Radiopharmaceuticals	CBR	1084-9785	1557-8852	Medicine	mary-ann-lieber-vancouver	numeric
Cannabis and Cannabinoid Research	CAN	2578-5125	2378-8763	Medicine	mary-ann-lieber-vancouver	numeric
Cellular Reprogramming	CELL	2152-4971	2152-4998	Biology	mary-ann-lieber-harvard	author-date
Childhood Obesity	CHI	2153-2168	2153-2176	Medicine	mary-ann-lieber-vancouver	numeric
Cyberpsychology, Behavior, and Social Networking	CYBER	2152-2715	2152-2723	science	mary-ann-lieber-vancouver	numeric
Diabetes Technology and Therapeutics	DTT	1520-9156	1557-8593	Medicine	mary-ann-lieber-vancouver	numeric
DNA and Cell Biology	DNA	1044-5498	1557-7430	Biology	mary-ann-lieber-harvard	author-date
Ecopsychology	ECO	x	1942-9347	science	mary-ann-lieber-harvard	author-date
Election Law Journal	ELJ	1533-1296	1557-8062	Law	mary-ann-lieber-harvard	author-date
Environmental Engineering Science	EES	1092-8758	1557-9018	science	mary-ann-lieber-harvard	author-date
Foodborne Pathogens and Disease	FPD	1535-3141	1556-7125	Biology	mary-ann-lieber-harvard	author-date
Forensic Genomics	FORENSIC	2690-8956	2690-8964	Biology	mary-ann-lieber-vancouver	numeric
Games for Health Journal	G4H	2161-783X	2161-7856	science	mary-ann-lieber-vancouver	numeric
Gen BioTechnology	GENBIO	2768-1556	2768-1572	Biology	mary-ann-lieber-vancouver	numeric
Genetic Testing and Molecular Biomarkers	GTMB	1945-0265	1945-0257	Biology	mary-ann-lieber-harvard	author-date
Health Equity	HEQ	x	2473-1242	Medicine	mary-ann-lieber-vancouver	numeric
High Altitude Medicine & Biology	HAM	1527-0297	1557-8682	Medicine	mary-ann-lieber-harvard	author-date
Human Gene Therapy	HUM	1043-0342	1557-7422	Biology	mary-ann-lieber-vancouver	numeric
Industrial Biotechnology	IND	1550-9087	1931-8421	Engineering	mary-ann-lieber-vancouver	numeric
Integrative Medicine Reports	IMR	x	2768-3222	Medicine	mary-ann-lieber-vancouver	numeric
Journal of Adolescent and Young Adult Oncology	JAYAO	2156-5333	2156-535X	Medicine	mary-ann-lieber-vancouver	numeric
Journal of Aerosol Medicine and Pulmonary Drug Delivery	JAMP	1941-2711	1941-2703	Medicine	mary-ann-lieber-vancouver	numeric
Journal of Integrative and Complementary Medicine	JICM	2768-3605	2768-3613	Medicine	mary-ann-lieber-vancouver	numeric
Journal of Child and Adolescent Psychopharmacology	JCAP	1044-5463	1557-8992	Medicine	mary-ann-lieber-harvard	author-date
Journal of Computational Biology	CMB	1066-5277	1557-8666	Biology	mary-ann-lieber-harvard	author-date
Journal of Correctional Healthcare	JCHC	1078-3458	1940-5200	Medicine	mary-ann-lieber-vancouver	numeric
Journal of Endourology	END	2152-4920	2152-4939	Medicine	mary-ann-lieber-vancouver	numeric
Journal of Endourology, Part B: Videourology	VID	x	2151-1136	Medicine	mary-ann-lieber-vancouver	numeric
Journal of Gynecologic Surgery	GYN	1042-4067	1557-7724ÿ	Medicine	mary-ann-lieber-vancouver	numeric
Journal of Interferon and Cytokine Research	JICR	1079-9907	1557-7465	Medicine	mary-ann-lieber-harvard	author-date
Journal of Laparoendoscopic & Advanced Surgical Techniques	LAP	1092-6429	1557-9034	Medicine	mary-ann-lieber-vancouver	numeric
Journal of Laparoendoscopic & Advanced Surgical Techniques & Part B: Videoscopy	VOR	x	2373-3063	Medicine	mary-ann-lieber-vancouver	numeric
Journal of Medicinal Food	JMF	1096-620X	1557-7600	Medicine	mary-ann-lieber-vancouver	numeric
Journal of Neurotrauma	NEU	0897-7151	1557-9042	Medicine	mary-ann-lieber-vancouver	numeric
Journal of Ocular Pharmacology and Therapeutics	JOPT	1080-7683	1557-7732	Medicine	mary-ann-lieber-vancouver	numeric
Journal of Palliative Medicine	JPM	1096-6218	1557-7740	Medicine	mary-ann-lieber-vancouver	numeric
Journal of Pancreatic Cancer	PANCAN	x	2475-3246	Medicine	mary-ann-lieber-vancouver	numeric
Journal of Womens Health	JWH	1540-9996	1931-843X	Medicine	mary-ann-lieber-vancouver	numeric
LGBT Health	LGBT	2325-8292	2325-8306	Medicine	mary-ann-lieber-vancouver	numeric
Lymphatic Research and Biology	LRB	1539-6851	1557-8585	Biology	mary-ann-lieber-vancouver	numeric
Medical Acupuncture	ACU	1933-6586	1933-6594	Medicine	mary-ann-lieber-vancouver	numeric
Metabolic Syndrome and Related Disorders	MET	1540-4196	1557-8518	Medicine	mary-ann-lieber-vancouver	numeric
Microbial Drug Resistance	MDR	1076-6294	1931-8448	Medicine	mary-ann-lieber-vancouver	numeric
Monoclonal Antibodies in Immunodiagnosis and Immunotherapy	MAB	x	2167-9436	Biology	mary-ann-lieber-vancouver	numeric
